id,library,method,critical_hyperparameters
1,tensorflow,Model(),
2,tensorflow,Sequential(),
3,sklearn,DecisionTreeClassifier(),max_depth
4,sklearn,KNeighborsClassifier(),n_neighbors
5,sklearn,LogisticRegression(),C
6,sklearn,MLPClassifier(),hidden_layer_sizes
7,sklearn,RandomForestClassifier(),n_estimators
8,sklearn,SVC(),"C,kernel"
9,sklearn,LinearRegression(),
10,sklearn,Ridge(),alpha
11,sklearn,Lasso(),alpha
12,sklearn,ElasticNet(),"alpha,l1_ratio"
13,sklearn,SVR(),"C,kernel"
14,sklearn,LinearSVC(),C
15,sklearn,KMeans(),n_clusters
16,sklearn,PCA(),n_components
17,sklearn,GaussianMixture(),n_components
18,sklearn,GradientBoostingClassifier(),"n_estimators,learning_rate"
19,sklearn,AdaBoostClassifier(),n_estimators
20,sklearn,XGBClassifier(),n_estimators
21,sklearn,LGBMClassifier(),n_estimators
22,sklearn,CatBoostClassifier(),iterations
23,torch,SGD(),lr
24,keras,Model(),
25,keras,Sequential(),
